MAVSTTNCODE,MANSTTNLINENUMB,MAVBLCKSCTN,MANBSLINENUMB,MACRECVSENDFLAG,MADMDFYTIME,MAVMDFYBY
ALM,1,KPL-ALM,1,R,3/30/2023,WAT1
ALM,1,ALM-KUK,1,S,3/30/2023,WAT1
ALM,2,KPL-ALM,2,R,3/30/2023,WAT1
ALM,2,KPL-ALM,1,R,3/30/2023,WAT1
ALM,2,ALM-KUK,2,S,3/30/2023,WAT1
ALM,2,ALM-KUK,1,S,3/30/2023,WAT1
ALM,3,ALM-KUK,2,S,3/30/2023,WAT1
ALM,3,ALM-KUK,1,S,3/30/2023,WAT1
ALM,3,ALM-KPL,2,S,3/30/2023,WAT1
ALM,3,KUK-ALM,2,R,3/30/2023,WAT1
ALM,3,KUK-ALM,3,R,3/30/2023,WAT1
ALM,3,ALM-KPL,3,S,3/30/2023,WAT1
ALM,3,KPL-ALM,1,R,3/30/2023,WAT1
ALM,3,KPL-ALM,2,R,3/30/2023,WAT1
ALM,4,KUK-ALM,2,R,3/30/2023,WAT1
ALM,4,KUK-ALM,3,R,3/30/2023,WAT1
ALM,4,ALM-KPL,2,S,3/30/2023,WAT1
ALM,4,ALM-KPL,3,S,3/30/2023,WAT1
ALM,5,KUK-ALM,2,R,3/30/2023,WAT1
ALM,5,KPL-ALM,2,R,3/30/2023,WAT1
ALM,5,KUK-ALM,3,R,3/30/2023,WAT1
ALM,5,ALM-KUK,1,S,3/30/2023,WAT1
ALM,5,ALM-KPL,3,S,3/30/2023,WAT1
ALM,5,ALM-KPL,2,S,3/30/2023,WAT1
ALM,5,ALM-KUK,2,S,3/30/2023,WAT1
CHE,1,DUSI-CHE,1,R,3/30/2023,WAT1
CHE,1,CHE-ULM,1,S,3/30/2023,WAT1
CHE,2,DUSI-CHE,1,R,3/30/2023,WAT1
CHE,2,CHE-ULM,1,S,3/30/2023,WAT1
CHE,3,ULM-CHE,2,R,3/30/2023,WAT1
CHE,3,CHE-DUSI,2,S,3/30/2023,WAT1
CHE,4,CHE-ULM,1,S,3/30/2023,WAT1
CHE,4,CHE-DUSI,2,S,3/30/2023,WAT1
CHE,4,ULM-CHE,2,R,3/30/2023,WAT1
CHE,4,DUSI-CHE,1,R,3/30/2023,WAT1
CHE,5,CHE-DUSI,2,S,3/30/2023,WAT1
CHE,5,DUSI-CHE,1,R,3/30/2023,WAT1
CHE,5,ULM-CHE,2,R,3/30/2023,WAT1
CHE,5,CHE-ULM,1,S,3/30/2023,WAT1
CPP,1,CPP-SGDM,1,S,3/30/2023,WAT1
CPP,1,GVI-CPP,1,R,3/30/2023,WAT1
CPP,2,CPP-SGDM,1,S,3/30/2023,WAT1
CPP,2,GVI-CPP,1,R,3/30/2023,WAT1
CPP,3,CPP-GVI,2,S,3/30/2023,WAT1
CPP,3,SGDM-CPP,2,R,3/30/2023,WAT1
CPP,4,CPP-GVI,2,S,3/30/2023,WAT1
CPP,4,SGDM-CPP,2,R,3/30/2023,WAT1
CPP,5,GVI-CPP,1,R,3/30/2023,WAT1
CPP,5,SGDM-CPP,2,R,3/30/2023,WAT1
CPP,5,CPP-GVI,2,S,3/30/2023,WAT1
CPP,5,CPP-SGDM,1,S,3/30/2023,WAT1
DUSI,1,PDU-DUSI,1,R,4/5/2023,WAT1
DUSI,1,DUSI-CHE,1,S,4/5/2023,WAT1
DUSI,2,DUSI-CHE,1,S,4/5/2023,WAT1
DUSI,2,PDU-DUSI,1,R,4/5/2023,WAT1
DUSI,3,DUSI-PDU,2,S,4/5/2023,WAT1
DUSI,3,CHE-DUSI,2,R,4/5/2023,WAT1
DUSI,4,DUSI-PDU,2,S,4/5/2023,WAT1
DUSI,4,CHE-DUSI,2,R,4/5/2023,WAT1
GVI,1,NML-GVI,1,R,3/30/2023,WAT1
GVI,1,GVI-CPP,1,S,3/30/2023,WAT1
GVI,2,NML-GVI,1,R,3/30/2023,WAT1
GVI,2,GVI-CPP,1,S,3/30/2023,WAT1
GVI,3,CPP-GVI,2,R,3/30/2023,WAT1
GVI,3,GVI-NML,2,S,3/30/2023,WAT1
GVI,4,GVI-NML,2,S,3/30/2023,WAT1
GVI,4,NML-GVI,1,R,3/30/2023,WAT1
GVI,4,CPP-GVI,2,R,3/30/2023,WAT1
GVI,4,GVI-CPP,1,S,3/30/2023,WAT1
KBM,1,TIU-KBM,1,R,3/30/2023,WAT1
KBM,1,KBM-TIU,2,S,3/30/2023,WAT1
KBM,1,NWP-KBM,2,R,3/30/2023,WAT1
KBM,1,KBM-NWP,1,S,3/30/2023,WAT1
KBM,2,KBM-NWP,1,S,3/30/2023,WAT1
KBM,2,TIU-KBM,1,R,3/30/2023,WAT1
KBM,3,KBM-TIU,2,S,3/30/2023,WAT1
KBM,3,NWP-KBM,2,R,3/30/2023,WAT1
KBM,4,NWP-KBM,2,R,3/30/2023,WAT1
KBM,4,KBM-TIU,2,S,3/30/2023,WAT1
KPL,1,KPL-ALM,1,S,3/30/2023,WAT1
KPL,1,KTV-KPL,1,R,3/30/2023,WAT1
KPL,1,KTV-KPL,2,R,3/30/2023,WAT1
KPL,2,KTV-KPL,2,R,3/30/2023,WAT1
KPL,2,KPL-ALM,2,S,3/30/2023,WAT1
KPL,2,KPL-ALM,1,S,3/30/2023,WAT1
KPL,2,KTV-KPL,1,R,3/30/2023,WAT1
KPL,3,ALM-KPL,2,R,3/30/2023,WAT1
KPL,3,KPL-KTV,2,S,3/30/2023,WAT1
KPL,3,KPL-KTV,3,S,3/30/2023,WAT1
KPL,3,ALM-KPL,3,R,3/30/2023,WAT1
KPL,3,KTV-KPL,1,R,3/30/2023,WAT1
KPL,3,KTV-KPL,2,R,3/30/2023,WAT1
KPL,3,KPL-ALM,2,S,3/30/2023,WAT1
KPL,3,KPL-ALM,1,S,3/30/2023,WAT1
KPL,4,ALM-KPL,2,R,3/30/2023,WAT1
KPL,4,KPL-KTV,3,S,3/30/2023,WAT1
KPL,4,KPL-KTV,2,S,3/30/2023,WAT1
KPL,4,ALM-KPL,3,R,3/30/2023,WAT1
KPL,5,ALM-KPL,2,R,3/30/2023,WAT1
KPL,5,KPL-KTV,3,S,3/30/2023,WAT1
KPL,5,KPL-KTV,2,S,3/30/2023,WAT1
KPL,5,KPL-ALM,2,S,3/30/2023,WAT1
KPL,5,KPL-ALM,1,S,3/30/2023,WAT1
KPL,5,ALM-KPL,3,R,3/30/2023,WAT1
KPL,5,KTV-KPL,2,R,3/30/2023,WAT1
KPL,5,KTV-KPL,1,R,3/30/2023,WAT1
KPL,6,KTV-KPL,2,R,3/30/2023,WAT1
KPL,6,KPL-KTV,3,S,3/30/2023,WAT1
KPL,6,KPL-KTV,2,S,3/30/2023,WAT1
KPL,6,KPL-ALM,2,S,3/30/2023,WAT1
KPL,6,KPL-ALM,1,S,3/30/2023,WAT1
KPL,6,KTV-KPL,1,R,3/30/2023,WAT1
KPL,6,ALM-KPL,2,R,3/30/2023,WAT1
KPL,6,ALM-KPL,3,R,3/30/2023,WAT1
KTV,1,PDT-KTV,1,R,4/25/2025,ECORZN4
KTV,1,KTV-KPL,2,S,4/25/2025,ECORZN4
KTV,1,KTV-KPL,1,S,4/25/2025,ECORZN4
KTV,1,KTV-PDT,4,S,4/25/2025,ECORZN4
KTV,1,MVW-KTV,2,R,4/25/2025,ECORZN4
KTV,1,PDT-KTV,2,R,4/25/2025,ECORZN4
KTV,1,KPL-KTV,2,R,4/25/2025,ECORZN4
KTV,1,KTV-PDT,3,S,4/25/2025,ECORZN4
KTV,1,KTV-PDT,1,S,4/25/2025,ECORZN4
KTV,1,KTV-MVW,1,S,4/25/2025,ECORZN4
KTV,1,PDT-KTV,3,R,4/25/2025,ECORZN4
KTV,1,KPL-KTV,3,R,4/25/2025,ECORZN4
KTV,2,KTV-KPL,1,S,4/25/2025,ECORZN4
KTV,2,KPL-KTV,3,R,4/25/2025,ECORZN4
KTV,2,KPL-KTV,2,R,4/25/2025,ECORZN4
KTV,2,PDT-KTV,3,R,4/25/2025,ECORZN4
KTV,2,PDT-KTV,2,R,4/25/2025,ECORZN4
KTV,2,PDT-KTV,1,R,4/25/2025,ECORZN4
KTV,2,MVW-KTV,2,R,4/25/2025,ECORZN4
KTV,2,KTV-PDT,4,S,4/25/2025,ECORZN4
KTV,2,KTV-PDT,3,S,4/25/2025,ECORZN4
KTV,2,KTV-PDT,1,S,4/25/2025,ECORZN4
KTV,2,KTV-KPL,2,S,4/25/2025,ECORZN4
KTV,2,KTV-MVW,1,S,4/25/2025,ECORZN4
KTV,3,KTV-KPL,2,S,4/25/2025,ECORZN4
KTV,3,KTV-MVW,1,S,4/25/2025,ECORZN4
KTV,3,KTV-PDT,1,S,4/25/2025,ECORZN4
KTV,3,PDT-KTV,1,R,4/25/2025,ECORZN4
KTV,3,KPL-KTV,2,R,4/25/2025,ECORZN4
KTV,3,KPL-KTV,3,R,4/25/2025,ECORZN4
KTV,3,KTV-KPL,1,S,4/25/2025,ECORZN4
KTV,4,PDT-KTV,2,R,4/25/2025,ECORZN4
KTV,4,MVW-KTV,2,R,4/25/2025,ECORZN4
KTV,4,PDT-KTV,3,R,4/25/2025,ECORZN4
KTV,4,PDT-KTV,1,R,4/25/2025,ECORZN4
KTV,4,KTV-KPL,2,S,4/25/2025,ECORZN4
KTV,4,KTV-MVW,1,S,4/25/2025,ECORZN4
KTV,4,KTV-KPL,1,S,4/25/2025,ECORZN4
KTV,5,KTV-KPL,2,S,4/25/2025,ECORZN4
KTV,5,PDT-KTV,1,R,4/25/2025,ECORZN4
KTV,5,MVW-KTV,2,R,4/25/2025,ECORZN4
